W,I
1410.4196937985628,10.7
1410.881182161857,12.4
1411.3426010835803,7.5
1411.803950569885,18.6
1412.2652306269226,7.4
1412.726441260856,16.9
1413.187582477843,11.2
1413.6486542840294,12.5
1414.1096566855772,11.2
1414.5705896886452,10.9
1415.0314532993912,11.6
1415.4922475239675,12.7
1415.9529723685318,15.3
1416.4136278392473,12.7
1416.874213942263,14.4
1417.334730683744,13.1
1417.7951780698443,18.2
1418.2555561067263,17.1
1418.7158648005443,7.4
1419.1761041574582,18.3
1419.636274183633,7.2
1420.0963748852162,10.2
1420.5564062683834,16.7
1421.0163683392798,12.9
1421.4762611040724,16.2
1421.9360845689216,13.3
1422.3958387399837,20.3
1422.8555236234208,13.2
1423.3151392254003,23.2
1423.7746855520718,12.6
1424.234162609604,10.9
1424.693570404162,16.7
1425.1529089418998,3.0
1425.6121782289842,9.9
1426.0713782715734,12.8
1426.5305090758322,12.9
1426.9895706479278,16.2
1427.4485629940202,11.8
1427.9074861202616,19.1
1428.3663400328317,9.2
1428.8251247378844,10.2
1429.2838402415912,10.7
1429.7424865501077,9.5
1430.2010636696039,15.6
1430.6595716062393,12.6
1431.1180103661857,13.4
1431.5763799555991,7.1
1432.0346803806528,20.0
1432.4929116475075,8.1
1432.9510737623257,16.0
1433.4091667312807,12.3
1433.8671905605374,11.3
1434.3251452562586,16.2
1434.783030824611,6.8
1435.240847271768,9.5
1435.6985946038812,14.7
1436.1562728271333,14.2
1436.613881947682,8.3
1437.0714219717036,17.8
1437.5288929053556,11.1
1437.9862947548183,16.2
1438.4436275262433,12.2
1438.9008912258153,7.5
1439.3580858596922,12.9
1439.8152114340496,10.5
1440.2722679550548,18.4
1440.729255428872,12.7
1441.1861738616794,11.8
1441.6430232596354,13.0
1442.0998036289238,13.2
1442.5565149757033,14.4
1443.0131573061515,14.9
1443.4697306264331,16.1
1443.926234942724,14.4
1444.3826702611952,11.9
1444.8390365880093,9.3
1445.2953339293488,6.4
1445.75156229138,10.9
1446.2077216802725,12.1
1446.6638121022083,9.1
1447.1198335633478,9.3
1447.5757860698689,10.1
1448.031669627945,13.2
1448.4874842437493,12.6
1448.9432299234513,12.1
1449.3989066732306,4.5
1449.8545144992545,12.4
1450.3100534077003,5.9
1450.7655234047397,11.4
1451.2209244965504,6.3
1451.676256689306,12.5
1452.1315199891774,12.1
1452.5867144023402,8.2
1453.041839934977,6.5
1453.4968965932544,11.9
1453.9518843833503,5.8
1454.40680331144,6.6
1454.8616533837017,10.7
1455.3164346063131,11.2
1455.7711469854453,10.1
1456.2257905272784,4.7
1456.6803652379879,14.1
1457.1348711237497,14.3
1457.5893081907434,10.7
1458.0436764451447,11.9
1458.4979758931358,16.6
1458.9522065408858,8.0
1459.406368394579,9.3
1459.8604614603953,8.0
1460.3144857445084,10.8
1460.7684412530955,10.1
1461.2223279923414,12.1
1461.6761459684194,16.1
1462.129895187514,9.5
1462.5835756558067,14.0
1463.0371873794652,12.0
1463.4907303646842,11.7
1463.944204617635,9.4
1464.3976101444975,14.3
1464.8509469514563,5.6
1465.3042150446888,10.6
1465.7574144303817,13.2
1466.2105451147086,11.8
1466.6636071038554,9.6
1467.1166004040026,7.0
1467.5695250213344,13.8
1468.022380962026,10.3
1468.4751682322644,3.9
1468.9278868382357,12.9
1469.380536786118,11.2
1469.8331180820887,15.5
1470.285630732341,10.2
1470.7380747430525,12.3
1471.1904501204122,10.8
1471.642756870593,11.3
1472.0949949997885,12.4
1472.5471645141804,10.6
1472.999265419953,13.3
1473.4512977232864,15.2
1473.9032614303712,7.5
1474.3551565473877,8.0
1474.806983080524,9.1
1475.258741035965,9.2
1475.7104304198945,14.0
1476.1620512385034,11.6
1476.6136034979697,11.1
1477.0650872044775,13.4
1477.5165023642287,7.8
1477.967848983394,12.1
1478.4191270681672,7.1
1478.870336624734,11.6
1479.3214776592833,11.1
1479.7725501779994,8.7
1480.223554187071,12.9
1480.6744896926866,5.6
1481.1253567010306,16.1
1481.576155218298,8.0
1482.0268852506665,9.2
1482.477546804336,10.0
1482.9281398854882,12.7
1483.378664500312,12.4
1483.8291206550045,9.7
1484.2795083557437,11.3
1484.7298276087265,7.5
1485.1800784201398,10.5
1485.6302607961763,16.0
1486.0803747430202,11.5
1486.5304202668692,13.2
1486.9803973739095,10.2
1487.4303060703319,12.4
1487.8801463623272,9.1
1488.3299182560863,0.5
1488.779621757804,12.7
1489.2292568736693,8.1
1489.678823609873,12.4
1490.1283219726076,10.0
1490.5777519680646,9.6
1491.0271136024362,8.0
1491.476406881916,9.9
1491.9256318126988,11.9
1492.3747884009776,9.1
1492.8238766529369,12.2
1493.2728965747779,6.8
1493.7218481726939,11.3
1494.1707314528758,10.3
1494.6195464215182,3.0
1495.0682930848125,12.7
1495.5169714489643,8.1
1495.9655815201515,9.8
1496.4141233045782,12.5
1496.8625968084389,14.9
1497.3110020379313,9.0
1497.759338999244,6.0
1498.207607698572,6.1
1498.6558081421215,9.7
1499.1039403360767,14.8
1499.552004286637,10.0
1499.9999999999995,12.1
1500.447927482364,13.8
1500.8957867399215,4.5
1501.343577778871,8.8
1501.7913006054118,13.8
1502.2389552257353,14.6
1502.6865416460448,8.5
1503.1340598725294,13.3
1503.5815099114013,8.0
1504.0288917688467,15.9
1504.4762054510636,1.2
1504.9234509642595,4.2
1505.3706283146232,12.5
1505.8177375083565,11.6
1506.264778551663,11.6
1506.7117514507336,6.0
1507.1586562117723,11.7
1507.6054928409803,14.5
1508.052261344553,11.7
1508.4989617286942,14.4
1508.945593999599,12.9
1509.3921581634731,12.1
1509.8386542265123,6.5
1510.2850821949198,9.9
1510.731442074891,12.7
1511.1777338726404,5.4
1511.623957594359,9.5
1512.0701132462461,1.6
1512.5162008345055,13.6
1512.9622203653432,7.2
